               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.052738,            0.035635,            0.064481,             0.82531,             0.10796,             0.16685,            0.092605,            0.039236,            0.024105,            0.061824,            0.007789,            0.007789,            0.007789
                  69,            0.045224,            0.033564,            0.063933,             0.84301,             0.10989,             0.17704,             0.09931,            0.037542,            0.023717,            0.061579,            0.007756,            0.007756,            0.007756
                  70,            0.047614,            0.038141,             0.06404,             0.85218,             0.10791,             0.18096,            0.099768,            0.041698,            0.023511,            0.061153,            0.007723,            0.007723,            0.007723
                  71,            0.048361,             0.03288,            0.063724,             0.82577,             0.11143,             0.17231,            0.095553,            0.039035,            0.023667,            0.060878,             0.00769,             0.00769,             0.00769
                  72,            0.041183,            0.032588,            0.063763,             0.78832,             0.11061,             0.14967,            0.064916,            0.043327,            0.023223,            0.060459,            0.007657,            0.007657,            0.007657
                  73,            0.045658,            0.031077,            0.061488,             0.83943,             0.11276,             0.18761,             0.11142,            0.036261,            0.022934,            0.060345,            0.007624,            0.007624,            0.007624
                  74,            0.045931,            0.035091,            0.065574,              0.8723,             0.11592,             0.18679,            0.096126,            0.041313,            0.023411,            0.060084,            0.007591,            0.007591,            0.007591
                  75,            0.043017,            0.035171,            0.062542,              0.8923,             0.11138,             0.17857,            0.085944,             0.04734,            0.023467,            0.059693,            0.007558,            0.007558,            0.007558
                  76,            0.047621,             0.03398,            0.061388,             0.94159,             0.12386,             0.20583,             0.12944,              0.0376,            0.022525,            0.059489,            0.007525,            0.007525,            0.007525
                  77,            0.040302,             0.02757,            0.058269,             0.95186,             0.12886,             0.20871,             0.13301,            0.033598,            0.022442,            0.059309,            0.007492,            0.007492,            0.007492
                  78,            0.042948,            0.035291,             0.06149,             0.93474,             0.12287,              0.1912,            0.094887,            0.044176,            0.023648,             0.05909,            0.007459,            0.007459,            0.007459
                  79,            0.048993,            0.040301,            0.060984,             0.96763,             0.12672,             0.21247,             0.12932,            0.033333,            0.023071,            0.059031,            0.007426,            0.007426,            0.007426
                  80,            0.041927,            0.037346,            0.062244,             0.95692,             0.12507,               0.211,            0.096619,             0.04027,            0.022838,            0.058666,            0.007393,            0.007393,            0.007393
                  81,            0.046673,            0.030788,            0.061926,             0.96013,             0.12999,             0.21516,             0.14023,            0.034371,            0.022244,             0.05844,             0.00736,             0.00736,             0.00736
                  82,             0.04361,            0.029673,            0.060357,             0.94773,             0.13119,             0.21463,             0.10619,            0.039134,            0.022337,            0.058112,            0.007327,            0.007327,            0.007327
                  83,            0.039559,            0.029297,            0.061601,             0.95785,             0.13265,             0.21926,             0.11695,            0.041908,            0.022787,            0.057809,            0.007294,            0.007294,            0.007294
                  84,             0.04759,            0.028855,            0.059065,             0.94685,             0.12942,             0.21741,             0.12942,            0.037824,            0.022091,            0.057565,            0.007261,            0.007261,            0.007261
                  85,            0.040693,            0.033159,            0.058296,             0.95823,              0.1286,             0.21994,             0.11829,            0.033665,            0.021884,            0.057356,            0.007228,            0.007228,            0.007228
                  86,            0.041948,            0.035804,            0.058769,             0.94231,             0.12521,             0.20023,             0.10079,            0.039924,            0.022558,            0.057006,            0.007195,            0.007195,            0.007195
                  87,            0.045727,            0.031173,            0.061076,             0.95591,             0.12894,             0.21943,             0.14188,              0.0335,            0.022158,            0.056785,            0.007162,            0.007162,            0.007162
                  88,            0.036516,            0.026589,            0.058355,             0.95803,             0.13283,             0.22075,             0.10016,            0.045742,            0.023385,             0.05639,            0.007129,            0.007129,            0.007129
                  89,            0.051512,             0.03665,            0.060855,             0.95907,             0.12859,             0.22232,             0.13898,            0.033678,            0.022329,            0.056267,            0.007096,            0.007096,            0.007096
                  90,            0.044066,            0.034169,            0.058346,             0.96619,             0.13069,              0.2288,             0.11046,            0.039421,             0.02244,            0.056008,            0.007063,            0.007063,            0.007063
                  91,            0.039911,            0.036393,            0.062056,             0.96524,             0.13173,              0.2252,             0.14122,            0.035612,             0.02281,            0.056017,             0.00703,             0.00703,             0.00703
                  92,            0.042525,            0.034249,            0.057543,             0.97382,             0.12825,             0.22858,             0.13832,            0.032047,            0.021735,            0.055793,            0.006997,            0.006997,            0.006997
                  93,            0.041161,            0.032183,            0.062422,             0.95946,             0.13696,              0.2289,             0.14584,            0.031549,            0.021789,            0.055573,            0.006964,            0.006964,            0.006964
                  94,            0.041896,            0.034296,            0.058192,             0.92827,             0.14209,                0.22,              0.1268,            0.034569,              0.0221,            0.055112,            0.006931,            0.006931,            0.006931
                  95,            0.043697,            0.032669,            0.057421,             0.91505,             0.14962,             0.22854,             0.13913,            0.032749,            0.021531,            0.054887,            0.006898,            0.006898,            0.006898
                  96,            0.036643,            0.028891,            0.056934,              0.9398,             0.15007,             0.23034,             0.12882,            0.040635,             0.02255,            0.054389,            0.006865,            0.006865,            0.006865
                  97,             0.04536,            0.031422,            0.055744,             0.93295,             0.14854,             0.23735,             0.14781,            0.031727,            0.021893,            0.054241,            0.006832,            0.006832,            0.006832
                  98,            0.040243,            0.033639,            0.058111,             0.93597,             0.14796,             0.23781,             0.14395,            0.033231,            0.021649,            0.053889,            0.006799,            0.006799,            0.006799
                  99,            0.036782,            0.030155,            0.055251,             0.92375,             0.14329,             0.23029,             0.12905,            0.035998,             0.02222,             0.05359,            0.006766,            0.006766,            0.006766
                 100,            0.041153,            0.031339,            0.057145,             0.91428,             0.14923,             0.23906,             0.15786,            0.030901,            0.021295,            0.053412,            0.006733,            0.006733,            0.006733
                 101,            0.036971,            0.035529,            0.057139,             0.94036,             0.14341,             0.24101,              0.1601,            0.029199,            0.020998,            0.053298,              0.0067,              0.0067,              0.0067
                 102,            0.038676,            0.033142,            0.058407,              0.9385,             0.14158,             0.23424,             0.13755,            0.035387,            0.022287,            0.052872,            0.006667,            0.006667,            0.006667
                 103,            0.043259,            0.035972,            0.056883,             0.94235,              0.1458,             0.23366,             0.14867,            0.030442,            0.021161,            0.052819,            0.006634,            0.006634,            0.006634
                 104,            0.035703,            0.031832,            0.056383,             0.94527,              0.1405,             0.23431,             0.13547,            0.036183,             0.02154,            0.052372,            0.006601,            0.006601,            0.006601
                 105,            0.041405,            0.029554,            0.053534,             0.96597,             0.13707,             0.24454,             0.12649,             0.03286,             0.02105,            0.052167,            0.006568,            0.006568,            0.006568
                 106,            0.039237,            0.029411,            0.055634,             0.97389,             0.13589,             0.24543,             0.14847,            0.032307,            0.021202,             0.05202,            0.006535,            0.006535,            0.006535
                 107,            0.039885,            0.033006,            0.056524,             0.96409,             0.13411,             0.24135,             0.14938,            0.034707,            0.021694,            0.051585,            0.006502,            0.006502,            0.006502
                 108,            0.042529,            0.035613,            0.054139,             0.96963,             0.13662,              0.2413,             0.12734,            0.033073,            0.020924,            0.051449,            0.006469,            0.006469,            0.006469
                 109,             0.03766,            0.028549,            0.053261,              0.9795,              0.1362,             0.24685,             0.15303,            0.030387,            0.020957,            0.051334,            0.006436,            0.006436,            0.006436
                 110,            0.040885,            0.031159,             0.05613,             0.90401,             0.15388,              0.2459,             0.12621,            0.036732,            0.021441,            0.051246,            0.006403,            0.006403,            0.006403
                 111,            0.042689,            0.031418,            0.053318,               0.906,             0.15607,             0.24426,             0.16016,            0.028954,            0.021009,            0.050991,             0.00637,             0.00637,             0.00637
                 112,            0.038642,            0.032896,            0.057329,             0.97295,             0.13726,             0.24898,              0.1416,             0.03651,            0.021523,             0.05049,            0.006337,            0.006337,            0.006337
                 113,            0.044623,            0.033903,            0.051848,             0.96939,             0.13934,             0.25327,             0.15045,            0.031734,            0.020652,            0.050297,            0.006304,            0.006304,            0.006304
                 114,             0.04245,            0.036233,            0.052447,             0.93552,             0.16091,             0.26207,             0.15208,            0.032714,             0.02064,            0.050199,            0.006271,            0.006271,            0.006271
                 115,            0.039739,             0.03539,            0.054103,             0.94818,             0.14633,             0.23562,             0.11652,            0.038851,            0.021222,             0.04999,            0.006238,            0.006238,            0.006238
                 116,            0.045985,             0.03437,            0.055085,             0.92561,             0.15659,              0.2632,              0.1664,            0.029924,            0.020571,            0.049974,            0.006205,            0.006205,            0.006205
                 117,            0.034546,            0.028588,            0.052697,             0.92391,             0.16162,             0.27348,             0.18181,             0.02793,            0.020406,            0.049872,            0.006172,            0.006172,            0.006172
                 118,            0.035232,            0.028381,            0.049471,             0.84245,             0.16721,             0.23662,             0.11605,            0.036894,            0.021507,            0.049362,            0.006139,            0.006139,            0.006139
                 119,            0.041149,            0.037553,            0.052108,             0.92459,             0.16318,             0.26537,             0.17585,            0.028878,            0.020607,            0.049154,            0.006106,            0.006106,            0.006106
                 120,            0.034753,            0.029425,            0.053227,             0.89038,             0.16544,             0.26715,             0.13786,            0.037462,            0.021096,            0.048786,            0.006073,            0.006073,            0.006073
                 121,            0.041482,            0.028754,             0.05233,             0.92303,             0.16511,             0.26971,             0.16867,             0.03015,              0.0203,            0.048703,             0.00604,             0.00604,             0.00604
                 122,            0.039422,             0.03092,            0.052764,             0.93685,             0.16084,             0.26997,             0.15484,            0.033926,            0.020784,             0.04851,            0.006007,            0.006007,            0.006007
                 123,            0.035988,            0.031462,            0.050569,             0.92244,             0.16442,             0.27661,             0.16793,            0.034254,              0.0209,            0.048349,            0.005974,            0.005974,            0.005974
                 124,            0.042722,            0.033242,            0.051244,             0.92018,             0.16401,             0.26943,             0.15902,            0.032831,            0.020503,            0.048247,            0.005941,            0.005941,            0.005941
                 125,            0.036589,            0.031216,            0.051017,             0.94202,             0.16323,             0.28268,             0.18709,            0.028754,            0.020178,             0.04831,            0.005908,            0.005908,            0.005908
